MAJOR_GROUP,TAXON,STATE,ORIGIN,SOURCE,NO.,SIZE_CLASS_[MM],MEAN_LENGTH_[MM],TOTAL_WET_WT_[MG],TOTAL_DRY_WT_[MG],INDIVIDUAL_WET_WT_[MG],INDIVIDUAL_DRY_WT_[MG]
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,10,5,5,47,,4.7,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,3,6,6,21,,7,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,5,6,6,37,,7.4,
Isopoda,; Philoscia richmondi; ,adult,LEF El Verde [2004],f,1,6,6,10,,10,
Isopoda,Oniscoid sp.; ; ,adult,LEF El Verde [2004],f,1,8,8,12,,12,
Arachnida, Opiliones; Opilionid; ,,LEF El Yunque [2005],f,1,5,5,12,,12,
Arachnida, Opiliones; Opilionid; ,,LEF El Yunque [2005],f,1,5,5,31,10,31,10
Insecta, Isoptera; Nasutitermes costalis; ,nasute,LEF El Verde [1999],f,593,3,3,948.5,232.5,1.6,0.392
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,nymph,LEF El Verde [1996],f,8,3-Feb,2.5,10,5,1.25,0.625
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [2004],f,3,2,2,2,,0.667,
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [1996],a,29,5-Feb,3.5,28,8.99,0.966,0.31
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [2004],f,1,4,4,2,,2,
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [],f,2,5-Apr,4.5,11,4,5.5,2
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [],f,1,6,6,4,1,4,1
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [],f,1,6,6,10,,10,
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [1996],a,10,8-Jun,7,89,17,8.9,1.7
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [2004],f,1,7,7,10,,10,
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [],f,1,8,8,8,1.5,8,1.5
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [],f,1,8.5,8.5,20,4.5,20,4.5
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [],f,1,10,10,33,5,33,5
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [1996],a,6,12-Sep,10.5,230,42,38.3,7
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [],f,1,12,12,57,,57,
Insecta, Orthoptera; Pelmatosilpha coriacea; ,nymph,LEF El Verde [],h,1,14,14,,27,,27
Insecta, Orthoptera; Cockroach; ,nymph,LEF El Verde [1996],a,3,15-16,15.5,596,106,199,35.3
Insecta, Orthoptera; Pelmatosilpha coriacea; ,nymph,LEF El Verde [],h,1,20,20,,192,,192
Insecta, Orthoptera; Pelmatosilpha coriacea; ,nymph,LEF El Verde [],h,1,22,22,,256,,256
Insecta, Orthoptera; Pelmatosilpha coriacea ; ,nymph,LEF El Verde [2004],f,1,23,23,580,,580,
Insecta, Diptera; Culex antillummagnorum; ,pupa,LEF El Verde [2004],f,2,3,3,5,,2.5,
Insecta, Diptera; Culex sp.; ,pupa,LEF El Verde [2006],f,42,6,6,,19.79,,0.471
Ostracoda,Metacyparis ?; ; San Juan,, Jardin Botanico [2006],f,400,0.4-0.6,0.5,,2.62,,0.0066
Ostracoda,Metacyparis ?; ; San Juan,, Jardin Botanico [2006],f,500,0.8,0.8,,17.15,,0.034
Ostracoda,Metacyparis ?; ; San Juan,, Jardin Botanico [2006],f,448,0.4-0.8,0.7,,9,,0.02
Arachnida, Opiliones; Opilionid; Toro Negro [2005],,,f,1,5,5,23,,23,
Insecta, Isoptera; Nasutitermes costalis; winged,,LEF El Verde [1999],f,16,6.5,6.5,174,70.5,10.9,4.41
Insecta, Isoptera; Parvitermes discolor; workers,,LEF El Verde [1999],f,121,3,3,225,47,1.86,0.388
Arachnida, Acari.various; various;  mostly oribatid; ; ,,LEF El Verde [2006],a,817,0.1-0.4,0.25,,1.595,,0.002
Arachnida, Acari.various; various;  mostly oribatid; ; ,,LEF El Verde [2006],a,480,0.4-0.8,0.6,,3.36,,0.007
Arachnida, Acari.various; various;  mostly oribatid; ; ,,LEF El Verde [2006],a,37,0.8-1,0.9,,1.28,,0.0346
Arachnida, Acari.various;  mostly oribatid; ; ,,LEF El Verde [2006],a,2,1.5,1.5,,0.545,,0.272
Arachnida, Araneae; Spider; various;  unident.; ,,LEF El Verde [],f,1,2,2,3,,3,
Arachnida, Araneae; Spider; various;  unident.; ,,LEF El Verde [],f,2,4,4,12,,6,
Arachnida, Araneae; Spider; various;  unident.; ,,LEF El Verde [],f,1,5,5,22,,22,
Arachnida, Araneae; Spider; various;  unident.; ,,LEF El Verde [],f,1,12,12,73,,73,
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,,LEF El Verde [2004],f,23,3,3,41,,1.78,
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,,LEF El Verde [2004],f,5,3.5,3.5,12,,2.4,
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,,LEF El Verde [2004],f,1,3.5,3.5,6,,6,
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,,LEF El Verde [2004],f,1,4,4,4,,4,
Arachnida, Pseudoscorpiones; Macrochernes attenuatus; ,,LEF El Verde [2004],f,1,4,4,5,,5,
Arachnida, Scorpiones; Tityus obtusus; ,,LEF El Verde [2004],f,1,40,40,320,,320,
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,9,9,196,71,196,71
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,9,9,157,39,157,39
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,9.5,9.5,168,53,168,53
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,10,10,207,58,207,58
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,10.5,10.5,246,83,246,83
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,11,11,304,111,304,111
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,11,11,255,92,255,92
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,11,11,236,91,236,91
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,11,11,266,68,266,68
Mollusca, Gastropoda; Polydontes acutangulata (inc. shell); ,,LEF El Verde [2004],f,1,12,12,285,94,285,94
Mollusca, Gastropoda; Snail unidentified (inc. shell); ,,LEF El Verde [2004],f,1,14,14,647,199,647,199
Mollusca, Gastropoda; Oleacina glabra [diam/ht]; ,,LEF El Verde [2004],f,1,14,14,972,132,972,132
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,22,22,3058,2228,3058,2228
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,23,23,1749,917,1749,917
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,23,23,1633,685,1633,685
Mollusca, Gastropoda; Nenia tridens (inc. shell) [shell length]; ,,LEF El Verde [2004],f,1,24,24,400,231,400,231
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,25,25,2920,1788,2920,1788
Mollusca, Gastropoda; Nenia tridens (inc. shell) [shell length]; ,,LEF El Verde [2004],f,1,25,25,448,267,448,267
Mollusca, Gastropoda; Nenia tridens (inc. shell) [shell length]; ,,LEF El Verde [2004],f,1,25,25,415,247,415,247
Mollusca, Gastropoda; Nenia tridens (inc. shell) [shell length]; ,,LEF El Verde [2004],f,1,25,25,439,224,439,224
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,26,26,3355,2332,3355,2332
Mollusca, Gastropoda; Polydontes luquillensis (inc. shell); ,,LEF El Verde [2004],f,1,26,26,4918,2328,4918,2328
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,26,26,2957,1790,2957,1790
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,26,26,2693,1621,2693,1621
Mollusca, Gastropoda; Nenia tridens (inc. shell) [shell length]; ,,LEF El Verde [2004],f,1,26,26,466,261,466,261
Mollusca, Gastropoda; Polydontes luquillensis (inc. shell); ,,LEF El Verde [2004],f,1,27,27,5774,2350,5774,2350
Mollusca, Gastropoda; Polydontes luquillensis (inc. shell); ,,LEF El Verde [2004],f,1,27,27,4762,1692,4762,1692
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,28,28,5367,3371,5367,3371
Mollusca, Gastropoda; Polydontes luquillensis (inc. shell); ,,LEF El Verde [2004],f,1,28,28,5691,2440,5691,2440
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,28,28,2957,1662,2957,1662
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,28,28,2710,1283,2710,1283
Mollusca, Gastropoda; Nenia tridens (inc. shell) [shell length]; ,,LEF El Verde [2004],f,1,28,28,571,299,571,299
Mollusca, Gastropoda; Nenia tridens (inc. shell) [shell length]; ,,LEF El Verde [2004],f,1,28,28,357,152,357,152
Mollusca, Gastropoda; Polydontes luquillensis (inc. shell); ,,LEF El Verde [2004],f,1,29,29,5627,2818,5627,2818
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,30,30,5438,3805,5438,3805
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,32,32,6563,4358,6563,4358
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,33,33,6210,3985,6210,3985
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,33,33,6299,3411,6299,3411
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,34,34,7317,4375,7317,4375
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,34,34,7017,4346,7017,4346
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,35,35,8875,4892,8875,4892
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,36,36,10356,6485,10356,6485
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,36,36,9471,6097,9471,6097
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,36,36,8162,5021,8162,5021
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,37,37,7733,4544,7733,4544
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,38,38,9215,4743,9215,4743
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,40,40,14282,8680,14282,8680
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,40,40,12993,7541,12993,7541
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,42,42,15104,9300,15104,9300
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,42,42,14745,8315,14745,8315
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,48,48,21522,12120,21522,12120
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,49,49,23669,14361,23669,14361
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,49,49,23850,13326,23850,13326
Mollusca, Gastropoda; slug [50 long x 20 wide]; ,,LEF El Verde [2004],f,1,50,50,3637,,3637,
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,51,51,25362,12355,25362,12355
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,52,52,25789,13293,25789,13293
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,52,52,22620,10047,22620,10047
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,54,54,30860,14910,30860,14910
Mollusca, Gastropoda; slug [54 long x 18 wide]; ,,LEF El Verde [2004],f,1,54,54,3991,,3991,
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,55,55,32608,17951,32608,17951
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,55,55,28610,17415,28610,17415
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,55,55,32141,16101,32141,16101
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,55,55,27916,15071,27916,15071
Mollusca, Gastropoda; Caracolus caracolla (inc. shell); ,,LEF El Verde [2004],f,1,55,55,28613,13879,28613,13879
